,Prices,,,,,,
DATE,MSFT,XOM,GE,JPM,INTC,C,SPINDX
09.02.96,100.13,82.63,79.38,66.88,58,65.25,656.37
12.02.96,99.5,83.38,79.63,67.63,58.23,66.13,661.45
13.02.96,99.63,83.38,79.75,67.63,57.13,66.75,660.51
14.02.96,98.75,82.63,78.75,67.75,58,67.5,655.58
15.02.96,98.5,82.75,78,67.75,57.5,67.63,651.32
16.02.96,97.88,81.5,77.5,67.75,57.56,67.25,647.98
20.02.96,97.75,80.88,77,66.75,57.88,65.88,640.65
21.02.96,99.88,81.88,77.88,69.25,59.13,66.25,648.1
22.02.96,102.5,83.5,79.63,70.63,61,68.88,658.86
23.02.96,103.5,82.25,79.75,72.5,60.81,69.88,659.08
26.02.96,100.63,80.38,78.5,70.13,60.38,69.38,650.46
27.02.96,100.13,79.38,77.75,70.88,60.25,69,647.24
28.02.96,100.13,78.25,76.13,71.75,60.75,69.13,644.75
29.02.96,98.69,79.5,75.5,71.63,58.81,66.88,640.43
01.03.96,95.5,79.75,76.88,72.75,56.06,68.25,644.37
04.03.96,96.25,79.38,77.88,72.75,54.88,68.63,650.81
05.03.96,98.13,80.88,78.25,72.25,55.38,67.63,655.79
06.03.96,97,82.25,77.88,70.75,53.25,67.63,652
07.03.96,97.31,82.75,77.88,69.38,53.13,67.25,653.65
08.03.96,95.13,79.25,74.75,66.38,53.5,63.25,633.5
11.03.96,96.5,79.5,76.5,65.88,55.25,62.63,640.02
12.03.96,95.75,79.75,75,65.63,54.88,61.25,637.09
13.03.96,100.88,80,74.63,66.75,56.13,62.75,638.55
14.03.96,99.63,81,75.13,68.25,56.13,62.63,640.87
15.03.96,102.38,79,75.75,67.88,58.88,62.25,641.43
18.03.96,105.25,81.5,77.88,69.75,59.5,64,652.65
19.03.96,106.88,82.88,77.13,69.88,58.75,64.13,651.69
20.03.96,104.63,80.5,77.25,71.13,55.5,63.88,649.98
21.03.96,100.75,80.5,77.38,72,55.88,64.38,649.19
22.03.96,101.13,81.38,78.38,71.13,56.13,64.88,650.62
25.03.96,99.88,83.63,79,70.88,54.89,64.5,650.04
26.03.96,102.75,86,79,70.75,56.13,65.5,652.97
27.03.96,102.5,84.13,78.88,71.5,56.63,65.25,648.91
28.03.96,102.25,83.75,78.25,71.38,56.38,64.75,648.94
29.03.96,103.13,81.5,77.88,70.5,56.88,66,645.5
01.04.96,102.75,83,79.38,73,57.13,66.25,653.73
02.04.96,104.63,83.75,79.5,74.25,56.88,66,655.26
03.04.96,104.5,83.88,80.25,73.38,57.63,66.13,655.88
04.04.96,104.38,85.38,80.38,73.38,59.25,65.88,655.86
08.04.96,103.75,83.38,79.63,70.63,60.63,62.5,644.24
09.04.96,101.63,83.38,78.38,69.25,61.88,61.75,642.19
10.04.96,101.63,82.38,76.63,67,61.75,59.5,633.5
11.04.96,101.13,82.38,75.63,66.88,60.44,59.13,631.18
12.04.96,101.13,81.88,76.88,68.5,59.63,60.88,636.71
15.04.96,103.52,83.63,78.25,69.13,60.56,62.38,642.49
16.04.96,105.25,83.63,77.75,69,64.88,62,645
17.04.96,105.94,83.5,78.25,68.25,64.19,60.38,641.61
18.04.96,109,81.88,79.25,68.38,65.75,60.63,643.61
19.04.96,109.75,82,79.13,67.75,65.25,61.13,645.07
22.04.96,112.75,82,79.5,66.88,67.75,61.5,647.89
23.04.96,112.63,84.63,79.38,67.13,68.11,62.63,651.58
24.04.96,111.5,84.25,79,66.75,70.25,61.63,650.17
25.04.96,112.75,84.5,78,68.25,69.63,62,652.87
26.04.96,113.5,84.38,77.88,69.13,69.25,62.13,653.46
29.04.96,112.63,85.88,77.63,68.88,68.13,61.63,654.16
30.04.96,113.25,85,77.25,69,67.75,61.5,654.17
01.05.96,115.13,83.63,77.88,68.75,67.88,61.13,654.58
02.05.96,111.63,82.63,77.5,65.63,68,59.13,643.38
03.05.96,110.88,82.38,77,66,68.69,57.88,641.63
06.05.96,111.75,82.63,76.25,65,68.75,57.13,640.81
07.05.96,113.13,82.38,75.38,65.88,67.88,57,638.26
08.05.96,114.25,83.63,76,67.5,68.75,59,644.77
09.05.96,113.5,83,77,67.13,68.63,58.75,645.44
10.05.96,114.88,83.5,77.75,68.88,69.13,59.25,652.09
13.05.96,118.63,84.5,78.5,69.63,71.75,60,661.51
14.05.96,119,84.75,78.88,69.88,72.88,60.75,665.6
15.05.96,117.63,84.63,78.75,69.38,72.38,61,665.42
16.05.96,117.13,83.88,79.88,69.5,71.88,60.88,664.85
17.05.96,117,84.75,81.25,71,71.13,61.75,668.91
20.05.96,116.75,87.25,84.38,71,71,62,673.15
21.05.96,115.13,86.13,83.25,70.75,70.25,62.5,672.76
22.05.96,116.88,87.75,84.88,72.75,69.88,63,678.42
23.05.96,118.5,87.88,84.63,71.88,70.88,62.25,676
24.05.96,118.5,87,85,71.63,71,62.38,678.51
28.05.96,117.25,86.38,82.75,70.88,72.5,40.75,672.23
29.05.96,117.13,85.13,82.25,70.13,71.38,40.88,667.93
30.05.96,118.25,86.63,83.25,70,71.5,41.63,671.7
31.05.96,118.75,84.75,82.75,70,75.5,41.5,669.12
03.06.96,118.38,84,82.88,69.88,76.63,41.63,667.68
04.06.96,117.88,84.88,83.88,70.75,76.31,42.38,672.56
05.06.96,120.88,84.88,84.38,73.25,76.88,43.25,678.44
06.06.96,119.81,84.38,86.25,73,75.25,43,673.03
07.06.96,121.25,85.88,85.88,71.75,75.25,41.63,673.31
10.06.96,120.63,85.38,86,72.13,74.13,42.38,672.16
11.06.96,122.13,85,84.63,72.25,75.25,42.63,670.97
12.06.96,125,84.13,85.25,72.38,76.75,43,669.04
13.06.96,124.63,84,85.75,72.63,75,43.63,667.92
14.06.96,123,83.5,85.75,72.38,73,43.13,665.85
17.06.96,124.63,84.5,86.25,72.25,72,43.13,665.16
18.06.96,122.38,84.38,85.63,71.88,70.38,43.75,662.06
19.06.96,121.75,84.88,85.63,71,71.38,43.38,661.96
20.06.96,121.75,85.63,85.63,69.5,71.13,43.13,662.1
21.06.96,123.88,86.25,87,67.5,71.38,43.63,666.84
24.06.96,124.13,86,87.38,68.75,73.61,43.88,668.85
25.06.96,122,86.38,87.75,70.13,72.88,45,668.48
26.06.96,120.5,87,86.88,70,72.5,44.38,664.39
27.06.96,119.94,87.5,87.5,70.25,73.88,44.75,668.55
28.06.96,120.13,86.88,86.75,70.63,73.44,45.63,670.63
01.07.96,122.31,87.25,87.25,71.38,75.13,46,675.88
02.07.96,121.63,88.63,87.5,71.13,74.75,46.75,673.61
03.07.96,121.13,89.25,87.25,71.38,74.88,45.88,672.4
05.07.96,118.38,88,85.63,68.75,72.13,44.5,657.44
08.07.96,120.31,88,83.88,67.25,73,43.5,652.54
09.07.96,120,88.5,84.63,67.88,73.38,43.38,654.75
10.07.96,119.5,88.88,85.38,68.63,72.88,42.88,656.06
11.07.96,114.5,89.38,83.88,67.75,69.5,41.25,645.67
12.07.96,112.38,90,84,68,71.25,41.75,646.19
15.07.96,110.63,88.38,81.38,65.88,69.13,40.38,629.8
16.07.96,115.38,86.38,80.88,66.75,70,40.75,628.37
17.07.96,117.13,85.13,82.75,67.75,71.63,41.75,634.07
18.07.96,119.88,85.75,83.88,69.5,72.5,42.63,643.56
19.07.96,120.98,85.38,82.13,68.75,72.75,42,638.73
22.07.96,119.75,85.38,80.88,68,72.25,41.13,633.77
23.07.96,112.13,84.63,79.38,67,69.5,41.13,626.87
24.07.96,114.75,83.63,79.88,66.88,69,40.63,626.65
25.07.96,118.5,83.88,80.63,68.38,72.13,41,631.17
26.07.96,119.13,83.25,81.38,69.13,74.25,40.75,635.9
29.07.96,116.88,82.63,80,67.88,72.88,41,630.91
30.07.96,118.63,81.75,80.13,68.75,74.38,40.63,635.26
31.07.96,117.88,82.25,82.25,69.5,75.13,42.25,639.95
01.08.96,120.63,83.38,83.38,71.13,77,44.13,650.02
02.08.96,123.38,84.75,86.13,74,78.75,44.88,662.49
05.08.96,121.75,84.25,85.88,73.13,78.13,44.25,660.23
06.08.96,124,84,86.5,72.88,79.88,44.63,662.38
07.08.96,124.75,83,85.75,72.63,82.36,45.75,664.16
08.08.96,125.25,82.63,84.88,72.38,80.75,45.5,662.59
09.08.96,124.5,80.63,83.75,73,82.38,45.38,662.1
12.08.96,125.25,81.63,85,73.75,82.13,45.88,665.77
13.08.96,124.13,81.38,85,74.63,80.25,45,660.2
14.08.96,124.88,80.88,85.38,75,81.75,44.75,662.05
15.08.96,125.13,80.75,84.75,75.38,81.75,44.63,662.28
16.08.96,124.25,82.38,84.88,76.25,81,45.63,665.21
19.08.96,123.5,83.5,85,76.88,80.75,45.88,666.58
20.08.96,123.38,83.75,85,77.75,79.5,46.25,665.69
21.08.96,123.5,82.88,84,78,80.25,45.75,665.07
22.08.96,125,83.63,84.63,79.38,83,46.25,670.68
23.08.96,123.25,82.5,85.75,78.13,81.63,45.75,667.03
26.08.96,122.88,81.63,85.63,77.63,81.25,45.63,663.88
27.08.96,124.75,82.5,86.5,77.63,81.5,45.88,666.4
28.08.96,125.63,81.75,86.38,77.13,81.25,45.25,664.81
29.08.96,124.13,80,84.75,75.88,81.38,44.25,657.4
30.08.96,122.5,81.5,83.13,74.38,79.81,43.38,651.99
03.09.96,123.38,83.75,84.13,75.13,81.63,44.25,654.72
04.09.96,123.38,83.88,84.25,74.63,82.25,43.5,655.61
05.09.96,121.5,83.13,83.25,73.88,80.63,43,649.44
06.09.96,122.5,84,84.75,75.25,81.25,43.75,655.68
09.09.96,124.88,84.25,85.63,75.25,83.5,45,663.76
10.09.96,124.38,83.38,86,76.5,84.31,44.75,663.81
11.09.96,125.13,84.88,86,77.88,85,45.13,667.28
12.09.96,128.63,85,87,78.38,85.38,45.5,671.15
13.09.96,131,84.5,88.38,79.38,88.13,46.88,680.54
16.09.96,131.5,85.13,88.38,79.88,88.63,47,683.98
17.09.96,133.88,85.13,87,78.13,94.25,47,682.94
18.09.96,136.5,85.75,87.25,77.88,95.63,46.25,681.47
19.09.96,137.75,85.88,87.88,77.38,97,47,683
20.09.96,138.13,86.88,89.13,78,97.38,47.5,687.03
23.09.96,137.75,86.63,88.5,79.25,95.75,47.5,686.48
24.09.96,136.88,86.25,89.88,79.25,96.5,47.13,685.61
25.09.96,135.63,85.13,91.5,79.88,97.25,47.88,685.83
26.09.96,132,84,90.38,80.63,97.38,48.75,685.86
27.09.96,134.38,83.38,91.5,80.63,96.88,48.88,686.19
30.09.96,131.88,83.25,91,80.13,95.44,49.13,687.33
01.10.96,132.13,85.25,90.63,81.13,95.75,49.88,689.08
02.10.96,134.75,85.75,91.88,80.75,99,51,694.01
03.10.96,134,86,91.88,80.88,99.5,51,692.78
04.10.96,136.38,87.88,93.5,81.75,101.69,53.13,701.46
07.10.96,137.5,87.88,94.13,81.88,104.75,53.13,703.34
08.10.96,135.38,87.5,93.38,81.25,101.63,52,700.64
09.10.96,134.5,86.13,92.88,80.5,100.88,51.38,696.74
10.10.96,133.75,85.88,92,81,99.88,50.75,694.61
11.10.96,137.13,86.38,94.38,81.5,105.38,51.88,700.66
14.10.96,136.63,87.63,95,82.5,107.63,53,703.54
15.10.96,138.88,87.13,95.25,82.5,111.13,52.75,702.57
16.10.96,138,87.38,95,81.25,112.63,52.75,704.41
17.10.96,135.5,88.13,95.13,81.88,110.75,53.25,706.99
18.10.96,134.75,89.38,95.13,82.38,110,53,710.82
21.10.96,134,89,95.75,83,107.75,53.25,709.85
22.10.96,132.5,88,95.63,82.25,105.5,53,706.57
23.10.96,134.5,88.63,96.5,82.75,109.38,53.5,707.27
24.10.96,136.63,87.25,96.13,83.38,107.5,53.25,702.29
25.10.96,136.44,88.5,95.88,83.63,105.38,52.63,700.92
28.10.96,136.63,88.25,95,83.13,106,52.13,697.26
29.10.96,135.38,89.63,96,84.5,104.38,54.38,701.5
30.10.96,136.25,89.13,96,85.38,106.75,54,700.9
31.10.96,137.25,88.63,96.75,85.75,109.88,54.25,705.27
01.11.96,137.38,88.25,96.63,85.63,108.75,54.25,703.77
04.11.96,138,88.5,97.38,86.5,110.38,55.38,706.73
05.11.96,141.5,88.25,98.75,88.5,114,57.63,714.14
06.11.96,144.5,88.63,101.63,89,118.88,60.25,724.59
07.11.96,143.5,88.5,102.75,89.63,122.13,60.63,727.65
08.11.96,143.5,89.38,102.13,89.75,122.25,62.5,730.82
11.11.96,143.63,90,102,88.75,123.88,59.88,731.87
12.11.96,141.75,89,101.88,87.75,121,60.63,729.56
13.11.96,145,90.25,103.63,86.75,119.5,59.88,731.13
14.11.96,149.63,90.13,105,88.75,119.88,59.88,735.88
15.11.96,149,90.25,104.25,88.5,115.88,60.38,737.62
18.11.96,150.38,91.25,103.38,89.5,115.38,60.38,737.02
19.11.96,155.88,92,103,92.5,120.75,60.5,742.16
20.11.96,153.25,91.25,102.75,92.25,120.88,60.75,743.95
21.11.96,150.38,90.88,101.63,90.75,118.88,59.63,742.75
22.11.96,150.5,92.88,101,91.5,122.5,60.13,748.73
25.11.96,153.5,94.88,103.75,95.38,121.5,46.63,757.03
26.11.96,153.75,94.88,102,94.13,123.75,45.63,755.96
27.11.96,155.5,93.75,102.5,94,126.63,45.13,755
29.11.96,156.88,94.38,104,94.5,126.88,45,757.02
02.12.96,157.75,94.88,103.25,93.13,127.13,44.5,756.56
03.12.96,154.69,94.5,99.25,91,125.88,43.63,748.28
04.12.96,153.25,93.88,98.94,90.63,129.5,43.3,745.1
05.12.96,153,95,97.63,88.88,128.25,42.75,744.38
06.12.96,152.88,94.88,97.88,89.5,125.69,42.38,739.6
09.12.96,81.75,95,98.5,89.88,130.13,44.13,749.76
10.12.96,81.88,94,98.13,89.88,129.13,44.13,747.54
11.12.96,83.38,94.5,97,88.63,136.88,43,740.73
12.12.96,81,94.5,96.75,86.88,136.88,42,729.3
13.12.96,80,94.75,96.75,85.5,132.38,42.25,728.64
16.12.96,76.75,94.5,95.13,85.13,127.25,42.13,720.98
17.12.96,79.88,96.5,97.63,87.63,130,42.38,726.04
18.12.96,82.63,97.25,99.25,87.38,135.75,43.25,731.54
19.12.96,84.88,99.63,102.75,90.75,137.5,44.38,745.76
20.12.96,83.63,99.63,102.25,91.5,134.63,45.25,748.87
23.12.96,83.75,100.25,101,91.63,132.25,45.5,746.92
24.12.96,84.88,100.25,102,91.5,135.5,46.25,751.03
26.12.96,85.5,100.25,103.25,92.5,136.63,46.38,755.82
27.12.96,84.25,99.88,102.5,92.13,135.38,46.13,756.79
30.12.96,83.5,99.38,101.63,91.75,133.25,47.38,753.85
31.12.96,82.63,98,98.88,89.38,130.94,45.38,740.74
02.01.97,81.63,98.38,97.63,88,130.38,44.5,737.01
03.01.97,84.63,98.63,99.13,88.25,138.38,45.13,748.03
06.01.97,84.38,100,99,87.38,138.88,45.38,747.65
07.01.97,85,100.25,101,86.75,143.38,45,753.23
08.01.97,83.38,99.5,99.63,87.63,142.25,44.88,748.41
09.01.97,82.38,102.88,101.13,88.38,143,45.88,754.85
10.01.97,84.25,105.75,101.38,87.75,144.5,45.25,759.5
13.01.97,83.75,103.13,103.25,87.5,146.88,47.13,759.51
14.01.97,85.38,103.63,104.63,89.63,147.13,48.5,768.86
15.01.97,84.63,104,102.88,90.63,142,47.75,767.2
16.01.97,86,103.25,101.5,90.88,142.38,48.13,769.75
17.01.97,87.13,102.88,103.63,92,144.06,50.63,776.17
20.01.97,90.75,102.5,105,92.88,145.25,52,776.7
21.01.97,95,103.63,105.5,92.88,148.06,51.25,782.72
22.01.97,97.38,106,107.38,92.38,152.13,53.63,786.23
23.01.97,94.75,102.88,104.13,91.13,151.75,52.38,777.56
24.01.97,95.94,100.25,101.88,89.13,150.5,51.13,770.52
27.01.97,96.13,103.25,100.38,88.63,150.13,50.5,765.02
28.01.97,95.63,100.5,100.63,88.5,151,50.88,765.02
29.01.97,97.25,103.25,103.63,89.63,154.75,51,772.5
30.01.97,101.13,104.13,105.63,91.75,160.13,52.5,784.17
31.01.97,102,103.63,103.5,92.5,162.25,52.38,786.16
03.02.97,102.38,102.25,105.25,93.75,163.88,54.5,786.73
04.02.97,103.13,103.38,103.88,96.25,164.75,54.5,789.26
05.02.97,98.38,102.88,103,95,157.25,53.38,778.28
06.02.97,97.13,101.88,104,95,153.13,53.13,780.15
07.02.97,100.38,101,105,97.88,156.38,52.5,789.56
10.02.97,97.75,100.13,103.88,97.5,151.75,51.88,785.43
11.02.97,98.5,101.63,104.63,98.63,151.75,52.75,789.59
12.02.97,99.88,103,105.88,99.63,156.75,55.5,802.77
13.02.97,100,104,107.25,100.88,157,56.63,811.82
14.02.97,97.88,103.88,106.38,101.75,154.5,55.5,808.48
18.02.97,97.38,104.13,107.5,101.63,154.63,58.25,816.29
19.02.97,97.5,103.25,107.5,104,153.88,57.38,812.49
20.02.97,95.25,103.13,105.75,102.25,149.88,55,802.8
21.02.97,95,103.75,105.13,102.5,146.38,54.75,801.77
24.02.97,100.13,102.63,106.63,104.63,149,55.75,810.28
25.02.97,99.5,103.5,106,105.75,148.88,57.75,812.03
26.02.97,100.25,102.13,106.25,103.25,146.25,55.5,805.68
27.02.97,96.13,99.88,105.13,100.88,139.73,53.25,795.07
28.02.97,97.5,100.25,102.88,100.13,141.88,53.63,790.82
03.03.97,99.5,99.25,103.38,102,145.88,54.63,795.31
04.03.97,99.13,100,101.38,101.75,146.38,52.63,790.95
05.03.97,100.88,101.25,103.63,103.75,149.5,54.63,801.99
06.03.97,97.75,100.88,104.63,102.75,145.38,54.63,798.56
07.03.97,96.75,100.38,105.38,106.5,143.5,55.5,804.97
10.03.97,100,103,105.88,109.63,144.75,56.63,813.65
11.03.97,98.38,102.75,105.13,106.25,143.88,56.13,811.34
12.03.97,98.75,101.5,104.75,103.88,142.75,54.63,804.26
13.03.97,99.63,100,103.63,99.13,141.25,52.88,789.56
14.03.97,99,101.13,103,100.38,137.88,53.25,793.17
17.03.97,100.5,100.88,104.38,102.75,136.38,51.88,795.71
18.03.97,99.63,101.25,103,99.5,136.75,52.63,789.66
19.03.97,96.75,101.25,103.5,101.38,133.38,52.13,785.77
20.03.97,96,101.13,102.63,101.75,133.25,50.5,782.65
21.03.97,94,103.5,102.75,102,130.5,50.75,784.1
24.03.97,90.13,104.5,105.88,103.38,130.63,53.25,790.89
25.03.97,90.31,105.75,105,101.75,133.25,53.75,789.07
26.03.97,94.25,109.38,103.88,99.88,140.63,52.25,790.5
27.03.97,93.75,108.13,101.25,96.38,139.13,50.88,773.88
31.03.97,91.69,107.75,99.25,93.88,139.13,48,757.12
01.04.97,93.25,106.88,98.63,95.63,139.31,49.88,759.64
02.04.97,92,104.75,97.75,92.38,137,47.25,750.11
03.04.97,95.13,102.25,98.38,93.5,140.63,48.38,750.32
04.04.97,94.19,101.88,100.88,93.88,145,48,757.9
07.04.97,95.88,105,100.5,94.25,145.13,49,762.13
08.04.97,98.25,104,101.25,96.88,146.61,49.25,766.12
09.04.97,98,103.63,101.88,95.5,142.25,49.25,760.6
10.04.97,96.75,103.5,101.5,94.13,137.25,49,758.34
11.04.97,95,101.25,97.88,90.25,130.5,46.38,737.65
14.04.97,97.38,51.75,100,90.5,133.75,48.38,743.73
15.04.97,97.13,52.25,102.88,92.63,131,50.25,754.72
16.04.97,98.25,52.25,105.38,89.63,134,51,763.53
17.04.97,98.13,51.5,103.88,89.88,138,50.13,761.77
18.04.97,107.63,53.5,104.75,87.5,137.13,50,766.34
21.04.97,107.63,53.38,104.38,85.5,138.38,48.38,760.37
22.04.97,110.63,55.25,108.5,87.63,141.13,50.13,774.61
23.04.97,115.13,54.88,107.13,86,146.25,50,773.64
24.04.97,114.13,54.25,106.63,85.38,146.13,49.13,771.18
25.04.97,113.63,52.75,106.5,85.38,143.88,48.88,765.37
28.04.97,114.88,53.88,107.25,87.75,146.38,50.25,772.96
29.04.97,119,55.63,110.63,90.5,150,55,794.05
30.04.97,121.5,56.63,111,92.13,153.13,55.5,801.34
01.05.97,121,55.88,109.75,92.75,153.75,54,798.53
02.05.97,120.75,56.38,113.13,95.38,157.63,54.63,812.97
05.05.97,120,58.5,116.5,97,162.5,56.38,830.29
06.05.97,117.31,58.63,116.75,98.25,158,56.88,827.76
07.05.97,115.5,58,115.75,95.38,155.88,54.38,815.62
08.05.97,116.38,58,116.13,95.88,158.75,55.88,820.26
09.05.97,116.75,57.75,116.5,97.88,159.5,55,824.78
12.05.97,118.13,59.13,59.88,99,159.13,55.63,837.66
13.05.97,117.75,59.63,60.75,97.13,152.38,56.13,833.13
14.05.97,115.88,59.88,60.88,98.38,152.88,56.38,836.04
15.05.97,117.13,58.88,62,97.13,158.13,56,841.88
16.05.97,115.44,58.13,60.5,93.63,155.13,55.25,829.75
19.05.97,115.13,59.13,61,92.63,154.75,55.75,833.27
20.05.97,119.13,59.13,62.5,96.5,161,57.63,841.66
21.05.97,120.38,59.5,61.75,93.13,162.5,55.88,839.35
22.05.97,120.63,58.5,61,94.63,161.38,55.5,835.66
23.05.97,122.88,59.88,61.38,95.13,163.19,56.5,847.03
27.05.97,126.63,59.63,60.88,93.25,169.31,56,849.71
28.05.97,125.88,58.75,61,93.63,167.13,55.63,847.21
29.05.97,125.88,58.75,61.13,92.88,163.77,54.63,844.08
30.05.97,124,59.25,60.38,94.5,151.5,55,848.28
02.06.97,124.38,60,60.63,94.5,149.75,54.88,846.36
03.06.97,120.75,59.88,60.63,97,145,55.75,845.48
04.06.97,119.19,60,60.88,96.63,142.5,55.25,840.11
05.06.97,120.56,60.13,60.25,97.5,143.14,56.13,843.43
06.06.97,124.06,61.25,62.25,100.38,146,57.88,858.01
09.06.97,125.13,61.5,62.88,97.63,149.25,58.5,862.91
10.06.97,124.81,61,63.25,99.88,145.19,60,865.27
11.06.97,127,62,63.63,99.38,147.5,61,869.57
12.06.97,127,63.63,65.13,100.75,143.66,62.88,883.46
13.06.97,129.63,63.75,66.13,101.38,144.75,63.63,893.27
16.06.97,131.38,64.38,66.5,102,147.25,62.5,893.9
17.06.97,134.19,63.63,66.5,102.38,149.69,63.63,894.42
18.06.97,130.19,63.38,66.25,103,146.56,64.63,889.06
19.06.97,129.31,62.88,67.13,103,146.44,64.75,897.99
20.06.97,129.88,63.5,67.63,102.63,146.75,66,898.7
23.06.97,128.06,61.75,65.5,100.13,145.19,63.5,878.62
24.06.97,132.06,62.5,66.31,100.5,148,64.38,896.34
25.06.97,130.44,60.94,65.38,99.69,146.69,64.13,888.99
26.06.97,128.25,61.19,65.13,98.31,143.69,63.25,883.68
27.06.97,127.5,60.44,65.31,97.63,142.25,63.75,887.3
30.06.97,126.38,61.25,65,97.06,141.81,63.06,885.14
01.07.97,124.94,63.25,66.5,99.5,139.06,64.75,891.03
02.07.97,128.38,63.13,67.56,102.5,143,66.88,904.03
03.07.97,129.56,64.63,69.38,103.25,144.94,66.69,916.92
07.07.97,129.5,63.31,69.88,103,147.38,67.56,912.2
08.07.97,131.25,63.56,69.5,103,149.63,66.88,918.75
09.07.97,130.75,61.94,68.44,101.88,152.63,66,907.54
10.07.97,129.88,61.81,69.5,101.38,150.13,66.75,913.78
11.07.97,129.75,61.75,70.63,102.06,153.81,66.19,916.68
14.07.97,135.94,60.75,71,102,78.75,65.19,918.38
15.07.97,138.47,62.25,72.19,102.56,80.91,66.25,925.76
16.07.97,148.44,62.75,74,102.75,88.38,68.5,936.59
17.07.97,149.5,62.88,73.19,103.25,87.81,67.75,931.61
18.07.97,140.5,60.44,71.13,102,86.44,66.56,915.3
21.07.97,135.94,61.31,70.63,102,85.69,65.75,912.94
22.07.97,144.13,62.88,71.88,105.5,88.75,67.81,933.98
23.07.97,141.44,61.44,72.19,106,89.31,68.31,936.56
24.07.97,138,62,71.88,107.13,89.75,70.75,940.3
25.07.97,138.5,62.81,72.31,106.06,89.19,69.69,938.79
28.07.97,137,63.38,71.56,106.25,88.56,69.63,936.45
29.07.97,139.94,62.75,70.94,108.88,88.13,71.38,942.29
30.07.97,141.13,63.94,70.75,112.5,89.38,71.75,952.29
31.07.97,141.5,64.25,70.13,113.56,91.81,71.94,954.31
01.08.97,140.63,63.63,69.13,112.31,93.63,70.94,947.14
04.08.97,141.56,64,68,111,96.75,69.63,950.3
05.08.97,143.31,63.56,67.75,109.56,99.69,69.88,952.37
06.08.97,143.44,64.88,69.31,111.88,100.06,70,960.32
07.08.97,143.94,64.13,68.25,109,101.06,68.63,951.19
08.08.97,140,62,67.06,107.44,97.81,66.13,933.54
11.08.97,138.25,62.88,67.63,108.75,96.13,67.38,937
12.08.97,136,62.5,66.19,109,95.31,65.88,926.53
13.08.97,136.06,60.75,66.75,111.25,96.38,67.94,922.02
14.08.97,136.25,60.38,66.75,111.31,95.88,68.25,924.77
15.08.97,132.88,59,63.38,109.88,92.13,65.88,900.81
18.08.97,133.88,62.19,65.88,110,94.56,66.75,912.49
19.08.97,138.81,62.25,66.38,111.5,97.91,68.13,926.01
20.08.97,140.56,63.38,67.88,114.5,100.5,68.88,939.35
21.08.97,137.88,62.31,65.94,114.13,98.38,67.38,925.05
22.08.97,137.25,62.75,64.88,114,96.19,66.81,923.54
25.08.97,136.5,62.31,64.13,113.69,94.19,66.25,920.16
26.08.97,135,61.75,63.25,112.75,92.69,64.88,913.02
27.08.97,134.56,63.25,62.75,113.63,94.06,64.25,913.7
28.08.97,132.06,61.88,62.5,112.25,92.38,64,903.67
29.08.97,132.19,61.19,62.56,111.19,92.13,63.5,899.47
02.09.97,137.19,64,66.19,113.75,95.06,66.88,927.58
03.09.97,136.56,64.13,67,114.19,93.81,67.75,927.86
04.09.97,138.19,64.25,66.56,114.63,94.63,67.5,930.87
05.09.97,137.31,64,66.25,114.5,94.56,67.5,929.05
08.09.97,139.31,64.25,66.94,115.75,95.94,67.56,931.2
09.09.97,139.5,64.5,66.75,115.63,97.75,68.13,933.62
10.09.97,135.13,62.94,65.94,113.06,95.5,66.13,919.03
11.09.97,136.81,62.13,65,111.38,95.25,65,912.59
12.09.97,137.94,63.06,66.25,113,94.25,66.25,923.91
15.09.97,130.69,62.75,66.38,112.5,92.06,66.31,919.77
16.09.97,136.38,64.63,68.56,115.56,95.81,70.19,945.64
17.09.97,133.19,64.63,69.69,117.63,95.66,69.88,943
18.09.97,132.25,66,70.13,117.63,95.13,70.5,947.29
19.09.97,135.19,65.81,70.19,117.56,95.44,70.56,950.51
22.09.97,133.31,64.19,70.31,118.25,96.38,72.31,955.43
23.09.97,135.5,65.13,69.13,117.56,99.13,72.06,951.93
24.09.97,132.44,64.19,68.63,118.31,95.63,69.44,944.48
25.09.97,132.75,63.88,66.88,115.5,93.13,68.56,937.91
26.09.97,133.38,64.25,68.31,117.38,93.06,69.19,945.22
29.09.97,134.5,64.81,69.06,118.44,95.38,68.44,953.34
30.09.97,132.31,64.06,68.06,118,92.31,68.31,947.28
01.10.97,133.88,65.31,68.56,119.56,93.25,69.31,955.41
02.10.97,133.19,64.94,69.5,120.44,93.13,69.94,960.46
03.10.97,134.94,65.19,69.06,122.63,93.31,71.69,965.03
06.10.97,135.13,66.75,69.88,124.94,93.5,74.44,972.69
07.10.97,136.5,66.81,72,126.38,95.25,75.25,983.12
08.10.97,139,65.25,70.5,125.69,94.56,74.56,973.84
09.10.97,138.94,64.81,70.63,125.56,94.69,74.5,970.62
10.10.97,136.5,64.56,69.88,121.69,93,74.5,966.98
13.10.97,136.75,64.56,69.38,121.94,92.56,75.31,968.1
14.10.97,136.69,64.56,69.38,123.19,91.81,75.44,970.28
15.10.97,135.75,64.81,68.75,123.38,86.69,74.69,965.72
16.10.97,133.91,64,69.31,123.81,85.38,73.88,955.25
17.10.97,132.25,63.63,69.38,121.69,83,72.88,944.16
20.10.97,132.5,65,70.13,121.56,84.06,73.44,955.61
